,genes,x_coord,y_coord,x_coord_plot,y_coord_plot,cluster_id
7689,KCNJ13,4.9295993,10.902603,6.9361286,2.9007258,1381
7690,KCNJ14,3.7286599,17.130125,5.5969954,12.180369,804
7691,KCNJ15,10.640432,15.044261,11.256811,14.900262,174
7692,KCNJ16,6.691175,16.851187,6.602925,16.448795,139
7693,KCNJ2,0.019912144,0.7700584,0.038673267,-1.8208512,417
7694,KCNJ3,8.158844,12.602557,9.353371,11.324404,479
7695,KCNJ4,-1.3671973,-2.2468538,-3.2493129,-1.3166561,369
7696,KCNJ5,1.6970781,11.831555,5.2165537,11.031927,880
7697,KCNJ6,2.3247204,-5.91235,1.6835397,-6.6003113,199
7698,KCNJ8,-6.037487,-0.607449,-5.705072,0.19287547,165
7699,KCNJ9,4.162991,14.5135145,1.3577019,13.876198,962
7700,KCNK1,-6.6257887,6.50784,-7.2815676,8.427934,260
7701,KCNK10,11.0592575,10.287765,10.409026,10.346203,313
7702,KCNK12,0.8702666,3.9516718,-0.82500005,4.020378,15
7703,KCNK13,-3.8250613,12.960029,-3.0191739,11.769347,88
7704,KCNK15,-5.8205104,7.963172,-5.4327927,7.719516,220
7705,KCNK16,8.404707,12.978124,9.948925,9.544969,456
7706,KCNK17,-4.278973,6.776766,-2.5996327,5.107159,16
7707,KCNK18,-1.425735,-2.2526722,-3.3034418,-1.3454617,369
7708,KCNK2,4.946584,14.856294,2.7901607,13.259968,565
7709,KCNK3,2.3759115,10.742161,1.2431203,9.585103,53
7710,KCNK4,7.8204193,4.7567897,6.680807,-0.44723254,1346
7711,KCNK5,-7.350311,3.2355123,-6.2301793,1.8401486,520
7712,KCNK6,-5.299011,-0.009988067,-5.175032,-0.76057065,316
7713,KCNK7,5.026454,0.81731033,2.1094985,0.9275651,470
7714,KCNK9,-1.5512524,0.17952418,1.28857,4.4316773,18
7715,KCNMA1,-4.2739325,6.7796254,-2.5974321,5.107423,16
7716,KCNMB1,8.884945,3.374323,-4.087815,-1.2095888,980
7717,KCNMB2,-1.94058,1.7260888,-2.4223194,3.1091697,263
7718,KCNMB3,-4.786795,-0.6099734,-5.48352,-1.2849724,178
7719,KCNMB4,1.0720865,5.3020635,0.8117028,10.59895,744
7720,KCNN1,-1.191058,-0.47934476,0.53265405,-0.7247461,20
7721,KCNN2,1.1675402,0.548295,10.170061,-3.4447372,161
7722,KCNN3,2.1987612,12.88415,3.7483835,14.3369255,489
7723,KCNN4,-6.5518827,2.0680072,-5.5679855,3.2043986,302
7724,KCNQ1,-0.35281664,9.461923,-2.3123124,9.624753,485
7725,KCNQ2,5.176027,3.2530363,5.8441525,4.077808,1382
7726,KCNQ3,14.480069,10.793094,14.985884,8.001,35
7727,KCNQ4,-6.9582877,7.940818,-4.793707,7.1949286,77
7728,KCNQ5,-0.84750986,11.117986,1.1045816,10.1041155,377
7729,KCNRG,3.1588018,-1.8528217,10.35055,5.1973476,1225
7730,KCNS1,0.741812,11.983589,0.6364254,11.999902,416
7731,KCNS2,5.702151,10.948854,4.974778,1.3654641,1185
7732,KCNS3,-5.3182764,-0.030837206,-5.20064,-0.8276406,316
